datos,model,prompt,lang,accuracy,recall,precision,f1,matthews
balanced,mistralai/Mistral-7B-v0.3,2 en,es,0.37777777777777777,0.37777777777777777,0.39036789167736413,0.3787817667902006,
balanced,mistralai/Mistral-7B-v0.3,2 es,es,0.3968253968253968,0.39682539682539686,0.4186149634768007,0.40134864420762517,
balanced,mistralai/Mistral-7B-v0.3,2 en,en,0.5111111111111111,0.5111111111111111,0.5224360059696893,0.5141702887891986,
balanced,mistralai/Mistral-7B-v0.3,4 en,es,0.33650793650793653,0.3365079365079365,0.3587205461894903,0.33254738356402447,
balanced,mistralai/Mistral-7B-v0.3,4 es,es,0.38095238095238093,0.38095238095238093,0.404661165235248,0.3810438865338281,
balanced,mistralai/Mistral-7B-v0.3,4 en,en,0.5111111111111111,0.5111111111111112,0.5320329867687793,0.513669645417404,
balanced,meta-llama/Llama-3.1-70B,2 en,es,0.6666666666666666,0.6666666666666666,0.6677705627705627,0.6599126727282065,
balanced,meta-llama/Llama-3.1-70B,2 es,es,0.6984126984126984,0.6984126984126984,0.6990627148768281,0.692589092067353,
balanced,meta-llama/Llama-3.1-70B,2 en,en,0.6666666666666666,0.6666666666666666,0.6653026366144983,0.6578443198130762,
balanced,meta-llama/Llama-3.1-70B,4 en,es,0.6571428571428571,0.6571428571428571,0.6897236354941401,0.6505027515999652,
balanced,meta-llama/Llama-3.1-70B,4 es,es,0.692063492063492,0.692063492063492,0.6970049944918661,0.6886910260029644,
balanced,meta-llama/Llama-3.1-70B,4 en,en,0.6761904761904762,0.6761904761904762,0.6821592198497147,0.668943295158876,
balanced,meta-llama/Llama-3.1-8B,2 en,es,0.35873015873015873,0.3587301587301587,0.35205090683963924,0.346122801775136,
balanced,meta-llama/Llama-3.1-8B,2 es,es,0.33650793650793653,0.3365079365079365,0.3375776397515528,0.33500554514910724,
balanced,meta-llama/Llama-3.1-8B,2 en,en,0.43492063492063493,0.4349206349206349,0.42643996318689636,0.4265345486273264,
balanced,meta-llama/Llama-3.1-8B,4 en,es,0.346031746031746,0.34603174603174597,0.34444972747884145,0.3381233909831875,
balanced,meta-llama/Llama-3.1-8B,4 es,es,0.3682539682539683,0.3682539682539683,0.36149739149739146,0.35690608952933567,
balanced,meta-llama/Llama-3.1-8B,4 en,en,0.45714285714285713,0.45714285714285713,0.4463746779536254,0.4464133876594717,
balanced,google/gemma-2-9b,2 en,es,0.5682539682539682,0.5682539682539682,0.5862816140949133,0.5672916949326787,
balanced,google/gemma-2-9b,2 es,es,0.5904761904761905,0.5904761904761905,0.6052366840524736,0.5900299133350648,
balanced,google/gemma-2-9b,2 en,en,0.6031746031746031,0.6031746031746031,0.6062663701106132,0.6018871535047885,
balanced,google/gemma-2-9b,4 en,es,0.5650793650793651,0.5650793650793651,0.581141037618687,0.5659406685228215,
balanced,google/gemma-2-9b,4 es,es,0.5777777777777777,0.5777777777777777,0.5916952659121334,0.577994705788711,
balanced,google/gemma-2-9b,4 en,en,0.6,0.6,0.6040079242791108,0.6003923335041883,
original,mistralai/Mistral-7B-v0.3,2 en,es,0.4126984126984127,0.4446886446886446,0.4484404484404484,0.4208791208791209,
original,mistralai/Mistral-7B-v0.3,2 es,es,0.36507936507936506,0.4043956043956044,0.4056676003734827,0.37616141238136686,
original,mistralai/Mistral-7B-v0.3,2 en,en,0.5396825396825397,0.5775335775335775,0.5446428571428571,0.545943833943834,
original,mistralai/Mistral-7B-v0.3,4 en,es,0.36507936507936506,0.40915750915750915,0.4189255189255189,0.37876190476190474,
original,mistralai/Mistral-7B-v0.3,4 es,es,0.36507936507936506,0.4043956043956044,0.3988111888111888,0.3690029645810579,
original,mistralai/Mistral-7B-v0.3,4 en,en,0.49206349206349204,0.5421245421245421,0.5292712189771013,0.517329611248966,
original,meta-llama/Llama-3.1-70B,2 en,es,0.6349206349206349,0.6332112332112332,0.6409967320261438,0.6176031792716082,
original,meta-llama/Llama-3.1-70B,2 es,es,0.746031746031746,0.7517704517704518,0.7236234353881412,0.7245416551411974,
original,meta-llama/Llama-3.1-70B,2 en,en,0.7619047619047619,0.7659340659340659,0.7353202353202353,0.7399975226062182,
original,meta-llama/Llama-3.1-70B,4 en,es,0.7301587301587301,0.7083028083028082,0.694542957042957,0.6917425817425819,
original,meta-llama/Llama-3.1-70B,4 es,es,0.7619047619047619,0.759096459096459,0.7356998556998556,0.741284577491474,
original,meta-llama/Llama-3.1-70B,4 en,en,0.7777777777777778,0.7813186813186813,0.7728418803418803,0.760920599529295,
original,meta-llama/Llama-3.1-8B,2 en,es,0.36507936507936506,0.3477411477411478,0.3661387631975867,0.3375243664717349,
original,meta-llama/Llama-3.1-8B,2 es,es,0.4603174603174603,0.452014652014652,0.43615779645191416,0.4344030340369013,
original,meta-llama/Llama-3.1-8B,2 en,en,0.4603174603174603,0.45213675213675214,0.44864024864024865,0.43851851851851853,
original,meta-llama/Llama-3.1-8B,4 en,es,0.47619047619047616,0.44725274725274716,0.44416666666666665,0.42702858702858704,
original,meta-llama/Llama-3.1-8B,4 es,es,0.30158730158730157,0.2958485958485958,0.30213794289645685,0.2769166317553414,
original,meta-llama/Llama-3.1-8B,4 en,en,0.5396825396825397,0.5181929181929182,0.5135867074102368,0.497054230322523,
original,google/gemma-2-9b,2 en,es,0.5555555555555556,0.5695970695970696,0.5776262626262626,0.5589592180653858,
original,google/gemma-2-9b,2 es,es,0.6031746031746031,0.6251526251526252,0.6204824561403508,0.610149386845039,
original,google/gemma-2-9b,2 en,en,0.5873015873015873,0.5886446886446886,0.6453357100415924,0.5954657644344197,
