datos,model,prompt,lang,accuracy,recall,precision,f1,matthews
balanced,HPAI-BSC/Llama3-Aloe-8B-Alpha,2 en,es,0.4507936507936508,0.4507936507936508,0.45419816519997747,0.4509460978279872,
balanced,HPAI-BSC/Llama3-Aloe-8B-Alpha,2 es,es,0.4666666666666667,0.4666666666666666,0.4678930414095322,0.46634930042318834,
balanced,HPAI-BSC/Llama3-Aloe-8B-Alpha,2 en,en,0.6412698412698413,0.6412698412698412,0.6408013527291696,0.6396863283238371,
balanced,HPAI-BSC/Llama3-Aloe-8B-Alpha,4 en,es,0.4507936507936508,0.4507936507936508,0.453291113546868,0.4504159511861694,
balanced,HPAI-BSC/Llama3-Aloe-8B-Alpha,4 es,es,0.4507936507936508,0.4507936507936508,0.4543956426656684,0.4507180973879537,
balanced,HPAI-BSC/Llama3-Aloe-8B-Alpha,4 en,en,0.6603174603174603,0.6603174603174603,0.6599033550034827,0.6589680848364685,
balanced,meta-llama/Meta-Llama-3.1-8B-Instruct,3 en,es,0.47619047619047616,0.47619047619047616,0.4912703617114292,0.4761139499287313,
balanced,meta-llama/Meta-Llama-3.1-8B-Instruct,3 es,es,0.5079365079365079,0.5079365079365079,0.527591076259807,0.5057155531123566,
balanced,meta-llama/Meta-Llama-3.1-8B-Instruct,3 en,en,0.6349206349206349,0.6349206349206348,0.64025,0.6343107229105176,
balanced,meta-llama/Meta-Llama-3.1-8B-Instruct,2 en,es,0.4888888888888889,0.4888888888888888,0.5030549290816763,0.48838062334376264,
balanced,meta-llama/Meta-Llama-3.1-8B-Instruct,2 es,es,0.4984126984126984,0.4984126984126984,0.5156565124373345,0.4939748657139962,
balanced,meta-llama/Meta-Llama-3.1-8B-Instruct,2 en,en,0.6126984126984127,0.6126984126984126,0.6226030023044948,0.6134278650312922,
balanced,meta-llama/Meta-Llama-3.1-8B-Instruct,1 en,es,0.4888888888888889,0.48888888888888893,0.4992966770436739,0.4874531590105072,
balanced,meta-llama/Meta-Llama-3.1-8B-Instruct,1 es,es,0.5047619047619047,0.5047619047619047,0.5230275315206823,0.5030365892727856,
balanced,meta-llama/Meta-Llama-3.1-8B-Instruct,1 en,en,0.6253968253968254,0.6253968253968253,0.6281805803544934,0.6230884316379373,
balanced,meta-llama/Meta-Llama-3.1-8B-Instruct,4 en,es,0.4603174603174603,0.46031746031746035,0.47721951266918505,0.4583524664806634,
balanced,meta-llama/Meta-Llama-3.1-8B-Instruct,4 es,es,0.4888888888888889,0.4888888888888888,0.5021034459070147,0.48958777685775035,
balanced,meta-llama/Meta-Llama-3.1-8B-Instruct,4 en,en,0.6126984126984127,0.5105820105820106,0.5168200632191492,0.5103103172179765,
balanced,google/gemma-2-9b-it,3 en,es,0.5968253968253968,0.5968253968253967,0.6027615339400363,0.5972644344513529,
balanced,google/gemma-2-9b-it,3 es,es,0.5841269841269842,0.5841269841269842,0.5885365409148898,0.5835841269204273,
balanced,google/gemma-2-9b-it,3 en,en,0.6158730158730159,0.6158730158730159,0.6193392699567787,0.6164410575583957,
balanced,google/gemma-2-9b-it,2 en,es,0.5904761904761905,0.5904761904761905,0.5972393822393822,0.5907424564815076,
balanced,google/gemma-2-9b-it,2 es,es,0.5841269841269842,0.584126984126984,0.5899842670990212,0.5840497694695616,
balanced,google/gemma-2-9b-it,2 en,en,0.6190476190476191,0.6190476190476191,0.6236670585161964,0.6194348725368979,
balanced,google/gemma-2-9b-it,1 en,es,0.6063492063492063,0.6063492063492064,0.6121706462154755,0.606901464090444,
balanced,google/gemma-2-9b-it,1 es,es,0.5936507936507937,0.5936507936507937,0.5982862206468763,0.5934894308528039,
balanced,google/gemma-2-9b-it,1 en,en,0.6222222222222222,0.6222222222222221,0.6245305918469336,0.6222828791389883,
balanced,google/gemma-2-9b-it,4 en,es,0.6,0.6,0.6036411591800108,0.600065009925605,
balanced,google/gemma-2-9b-it,4 es,es,0.5841269841269842,0.584126984126984,0.5895804800442692,0.5838913339207888,
balanced,google/gemma-2-9b-it,4 en,en,0.6158730158730159,0.6158730158730159,0.6205967532847693,0.6167757233543795,
balanced,meta-llama/Llama-3.3-70B-Instruct,3 en,es,0.7873015873015873,0.7873015873015874,0.7913962083207091,0.7881205472129473,
