datos,model,prompt,lang,accuracy,recall,precision,f1,matthews
FA,mistralai/Mistral-7B-v0.3,3 en,es,0.37012987012987014,0.25,0.09375,0.13636363636363635,0.04389364441014814
FA,mistralai/Mistral-7B-v0.3,3 es,es,0.37012987012987014,0.25,0.09375,0.13636363636363635,0.04389364441014814
FA,mistralai/Mistral-7B-v0.3,2 en,es,0.37012987012987014,0.25,0.09375,0.13636363636363635,0.04389364441014814
FA,mistralai/Mistral-7B-v0.3,2 es,es,0.37012987012987014,0.25,0.09375,0.13636363636363635,0.04389364441014814
FA,meta-llama/Llama-3.1-70B,3 en,es,0.37012987012987014,0.5,0.18506493506493507,0.27014218009478674,0.0
FA,meta-llama/Llama-3.1-70B,3 es,es,0.36363636363636365,0.49122807017543857,0.1830065359477124,0.26666666666666666,-0.10546363205411227
FA,meta-llama/Llama-3.1-70B,2 en,es,0.35714285714285715,0.3216374269005848,0.1206140350877193,0.17543859649122806,-0.11204430283643078
FA,meta-llama/Llama-3.1-70B,2 es,es,0.36363636363636365,0.32748538011695905,0.12200435729847493,0.17777777777777778,-0.052731816027056136
FA,meta-llama/Llama-3.1-8B,3 en,es,0.35714285714285715,0.4824561403508772,0.18092105263157895,0.2631578947368421,-0.149637913238877
FA,meta-llama/Llama-3.1-8B,3 es,es,0.36363636363636365,0.49122807017543857,0.1830065359477124,0.26666666666666666,-0.10546363205411227
FA,meta-llama/Llama-3.1-8B,2 en,es,0.37012987012987014,0.3309218062337975,0.2902869757174393,0.18622118622118622,-0.007250514861372962
FA,meta-llama/Llama-3.1-8B,2 es,es,0.36363636363636365,0.49122807017543857,0.1830065359477124,0.26666666666666666,-0.10546363205411227
FA,google/gemma-2-9b,3 en,es,0.37012987012987014,0.24819135467534814,0.3433333333333333,0.1403677412994183,0.03581296825020934
FA,google/gemma-2-9b,3 es,es,0.37012987012987014,0.19855308374027852,0.27466666666666667,0.11229419303953465,0.03578340739643074
FA,google/gemma-2-9b,2 en,es,0.37012987012987014,0.19855308374027852,0.27466666666666667,0.11229419303953465,0.03578340739643074
FA,google/gemma-2-9b,2 es,es,0.37012987012987014,0.19855308374027852,0.27466666666666667,0.11229419303953465,0.03578340739643074
